Year,Month,Aircraft Landing,Aircraft Take-off,Aircraft Total,Aircraft Year-on-year % change,Passenger Arrival,Passenger Departure,Passenger Total,Passenger Year-on-year % change,Freight Unloaded,Freight Loaded,Freight Total,Freight Year-on-year % change
1998,Jan,7032,7029,14061,2.6,1029744,1200708,2230452,-5.9,61132,64242,125375,-1.8
1998,Feb,6078,6074,12152,-4.6,1091947,913061,2005008,-18.4,62001,51141,113142,11
1998,Mar,6584,6585,13169,-6.1,1070547,1099234,2169781,-16.8,75231,79156,154386,0.3
1998,Apr,6704,6701,13405,-2.1,1184956,1151549,2336505,-9.5,69404,70065,139469,-5.8
1998,May,6786,6784,13570,-1.9,1051369,1077758,2129127,-12.3,72498,70479,142977,-2.2
1998,Jun,6546,6549,13095,-2.6,1085690,1085479,2171169,-0.8,69156,68917,138073,-5
1998,Jul,6944,6947,13891,-1.3,1203855,1238250,2442105,6.7,45968,49252,95221,-37.7
1998,Aug,7195,7194,14389,2.5,1334642,1269286,2603928,1.2,56173,64362,120534,-21.3
1998,Sep,6826,6828,13654,-0.5,1021237,1097754,2118991,-0.2,61249,78228,139477,-12.4
1998,Oct,7127,7112,14239,1,1246202,1173786,2419988,5,66381,88081,154462,-10.3
1998,Nov,6737,6741,13478,-1.6,1095185,1062187,2157372,2.5,66855,90629,157485,-8
1998,Dec,7057,7063,14120,0.2,1219615,1204751,2424366,5.8,68496,79644,148141,-4.1
1999,Jan,6803,6809,13612,-3.2,1072733,1080788,2153521,-3.4,62389,71177,133566,6.5
1999,Feb,6619,6615,13234,8.9,1165738,1177213,2342951,16.9,56367,60932,117299,3.7
1999,Mar,6904,6919,13823,5,1141608,1158939,2300547,6,70664,86221,156884,1.6
1999,Apr,6994,6995,13989,4.4,1266402,1222643,2489045,6.5,67720,88335,156054,11.9
1999,May,6960,6935,13895,2.4,1156803,1163977,2320780,9,71316,87789,159105,11.3
1999,Jun,6626,6651,13277,1.4,1110030,1135203,2245233,3.4,66394,85257,151651,9.8
1999,Jul,7144,7145,14289,2.9,1330977,1369445,2700422,10.6,70096,95223,165319,73.6
1999,Aug,7174,7169,14343,-0.3,1408157,1339286,2747443,5.5,65910,96744,162654,34.9
1999,Sep,6803,6805,13608,-0.3,1113918,1153682,2267600,7,69492,104617,174108,24.8
1999,Oct,7266,7264,14530,2,1316375,1277962,2594337,7.2,80596,119429,200025,29.5
1999,Nov,7078,7081,14159,5.1,1235095,1217614,2452709,13.7,77657,125220,202877,28.8
1999,Dec,7315,7295,14610,3.5,1234434,1213548,2447982,1,82560,112188,194749,31.5
2000,Jan,6908,6926,13834,1.6,1125875,1166816,2292691,6.5,71559,90464,162022,21.3
2000,Feb,7010,7014,14024,6,1305123,1233741,2538864,8.4,61923,74265,136187,16.1
2000,Mar,7306,7306,14612,5.7,1252303,1260248,2512551,9.2,80416,114821,195237,24.4
2000,Apr,7445,7445,14890,6.4,1433209,1445557,2878766,15.7,79007,107336,186342,19.4
2000,May,7531,7538,15069,8.4,1330375,1322463,2652838,14.3,77890,103515,181405,14
2000,Jun,7318,7321,14639,10.3,1310638,1320560,2631198,17.2,79055,101523,180578,19.1
2000,Jul,7758,7737,15495,8.4,1450450,1484304,2934754,8.7,81179,107739,188918,14.3
2000,Aug,7928,7938,15866,10.6,1525680,1452082,2977762,8.4,79036,109116,188152,15.7
2000,Sep,7761,7765,15526,14.1,1315969,1376089,2692058,18.7,85060,117433,202494,16.3
2000,Oct,8116,8087,16203,11.5,1429783,1379342,2809125,8.3,84840,125315,210155,5.1
2000,Nov,7803,7816,15619,10.3,1274250,1247394,2521644,2.8,85296,129237,214533,5.7
2000,Dec,8065,8076,16141,10.5,1358410,1330051,2688461,9.8,87253,107309,194562,-0.1
2001,Jan,8228,8229,16457,19,1331381,1419393,2750774,20,65479,77491,142970,-11.8
2001,Feb,7091,7098,14189,1.2,1175217,1090521,2265738,-10.8,70601,80263,150864,10.8
2001,Mar,8170,8169,16339,11.8,1416898,1416302,2833200,12.8,81772,106799,188571,-3.4
2001,Apr,8327,8322,16649,11.8,1425368,1473037,2898405,0.7,74299,90546,164845,-11.5
2001,May,8410,8402,16812,11.6,1356892,1323266,2680158,1,73159,85913,159071,-12.3
2001,Jun,8227,8233,16460,12.4,1358268,1393481,2751749,4.6,75419,88867,164286,-9
2001,Jul,8379,8368,16747,8.1,1389017,1408658,2797675,-4.7,72311,89937,162248,-14.1
2001,Aug,8602,8607,17209,8.5,1540111,1487073,3027184,1.7,70463,97253,167716,-10.9
2001,Sep,8295,8290,16585,6.8,1218047,1290859,2508906,-6.8,77194,105242,182436,-9.9
2001,Oct,8475,8474,16949,4.6,1289195,1207694,2496889,-11.1,76396,122144,198540,-5.5
2001,Nov,7932,7929,15861,1.5,1168502,1152605,2321107,-8,77284,126505,203789,-5
2001,Dec,8279,8281,16560,2.6,1358784,1336375,2695159,0.2,79558,109438,188996,-2.9
2002,Jan,7921,7925,15846,-3.7,1216709,1216682,2433391,-11.5,71385,95303,166688,16.6
2002,Feb,7687,7682,15369,8.3,1328364,1309146,2637510,16.4,67339,81702,149040,-1.2
2002,Mar,8340,8348,16688,2.1,1384018,1485728,2869746,1.3,86461,125499,211960,12.4
2002,Apr,8375,8369,16744,0.6,1475597,1392442,2868039,-1,81233,115705,196938,19.5
2002,May,8509,8512,17021,1.2,1374134,1368024,2742158,2.3,84516,113675,198192,24.6
2002,Jun,8308,8302,16610,0.9,1290681,1313620,2604301,-5.4,86755,118435,205190,24.9
2002,Jul,8803,8814,17617,5.2,1466811,1485923,2952734,5.5,84937,123822,208759,28.7
2002,Aug,9162,9161,18323,6.5,1588865,1522140,3111005,2.8,83356,124275,207631,23.8
2002,Sep,8795,8798,17593,6.1,1322969,1364733,2687702,7.1,85333,132405,217738,19.4
2002,Oct,9361,9346,18707,10.4,1505215,1446619,2951834,18.2,90907,158398,249305,25.6
2002,Nov,8997,8999,17996,13.5,1354986,1331352,2686338,15.7,91908,160401,252310,23.8
2002,Dec,9097,9090,18187,9.8,1463903,1442911,2906814,7.9,89428,125639,215067,13.8
2003,Jan,9073,9073,18146,14.5,1301159,1443118,2744277,12.8,80704,117405,198108,18.8
2003,Feb,8314,8317,16631,8.2,1401770,1229888,2631658,-0.2,72053,87920,159973,7.3
2003,Mar,9049,9059,18108,8.5,1200309,1253754,2454063,-14.5,92566,143878,236444,11.6
2003,Apr,6069,6064,12133,-27.5,419307,473589,892896,-68.9,80963,122253,203216,3.2
2003,May,4316,4313,8629,-49.3,276938,279129,556067,-79.7,81695,119034,200730,1.3
2003,Jun,4755,4752,9507,-42.8,565475,567385,1132860,-56.5,82458,118915,201373,-1.9
2003,Jul,7093,7095,14188,-19.5,1203133,1198583,2401716,-18.7,84335,126918,211253,1.2
2003,Aug,8463,8460,16923,-7.6,1509449,1430921,2940370,-5.5,85054,134104,219158,5.6
2003,Sep,8477,8479,16956,-3.6,1282265,1309868,2592133,-3.6,89408,145534,234942,7.9
2003,Oct,9374,9370,18744,0.2,1432563,1375288,2807851,-4.9,93022,167957,260979,4.7
2003,Nov,9272,9275,18547,3.1,1355812,1326757,2682569,-0.1,95410,172388,267798,6.1
2003,Dec,9493,9502,18995,4.4,1471072,1444762,2915834,0.3,97529,150598,248128,15.4
2004,Jan,9656,9650,19306,6.4,1462011,1502530,2964541,8,80533,116498,197032,-0.5
2004,Feb,8605,8597,17202,3.4,1212443,1133189,2345632,-10.9,90381,132537,222918,39.3
2004,Mar,9582,9589,19171,5.9,1389324,1369687,2759011,12.4,100376,169473,269849,14.1
2004,Apr,9842,9842,19684,62.2,1538619,1500544,3039163,240.4,94557,153836,248393,22.2
2004,May,9763,9763,19526,126.3,1375639,1379485,2755124,395.5,98580,147313,245894,22.5
2004,Jun,9629,9625,19254,102.5,1513929,1495996,3009925,165.7,98863,149670,248533,23.4
2004,Jul,10203,10200,20403,43.8,1678414,1677102,3355516,39.7,100383,156743,257126,21.7
2004,Aug,10282,10278,20560,21.5,1749152,1676775,3425927,16.5,92807,161679,254485,16.1
2004,Sep,10024,10034,20058,18.3,1453376,1527031,2980407,15,101489,175726,277215,18
2004,Oct,10555,10543,21098,12.6,1702428,1594733,3297161,17.4,103077,190806,293883,12.6
2004,Nov,10104,10106,20210,9,1561870,1534137,3096007,15.4,98732,196427,295159,10.2
2004,Dec,10417,10419,20836,9.7,1645946,1612282,3258228,11.7,104957,174467,279425,12.6
2005,Jan,10173,10168,20341,5.4,1467450,1471398,2938848,-0.9,93084,154030,247115,25.4
2005,Feb,9563,9569,19132,11.2,1536135,1491777,3027912,29.1,82848,121763,204611,-8.2
2005,Mar,10663,10656,21319,11.2,1600054,1647708,3247762,17.7,105221,185691,290913,7.8
2005,Apr,10658,10664,21322,8.3,1655053,1611318,3266371,7.5,103219,182117,285336,14.9
2005,May,10832,10830,21662,10.9,1623554,1624951,3248505,17.9,102490,168390,270880,10.2
2005,Jun,10670,10664,21334,10.8,1611684,1607484,3219168,7,104865,175059,279924,12.6
2005,Jul,11369,11368,22737,11.4,1837625,1856694,3694319,10.1,107584,182618,290201,12.9
2005,Aug,11497,11484,22981,11.8,1866146,1793787,3659933,6.8,102913,179431,282344,10.9
2005,Sep,11310,11329,22639,12.9,1603116,1626113,3229229,8.3,109513,193985,303498,9.5
2005,Oct,11830,11817,23647,12.1,1775323,1716958,3492281,5.9,110050,208110,318160,8.3
2005,Nov,11454,11460,22914,13.4,1652645,1634383,3287028,6.2,107843,211245,319088,8.1
2005,Dec,11740,11736,23476,12.7,1761982,1726257,3488239,7.1,116336,193844,310181,11
2006,Jan,11559,11552,23111,13.6,1613628,1782586,3396214,15.6,98036,171240,269275,9
2006,Feb,10327,10336,20663,8,1692003,1490459,3182462,5.1,93641,130543,224184,9.6
2006,Mar,11798,11783,23581,10.6,1736965,1706518,3443483,6,113324,207062,320386,10.1
2006,Apr,11766,11770,23536,10.4,1858407,1860444,3718851,13.9,106566,188412,294978,3.4
2006,May,11627,11628,23255,7.4,1731123,1726936,3458059,6.5,105954,177630,283584,4.7
2006,Jun,11442,11445,22887,7.3,1782229,1752060,3534289,9.8,107976,181798,289774,3.5
2006,Jul,11967,11968,23935,5.3,1985718,2022168,4007886,8.5,109369,183936,293305,1.1
2006,Aug,11865,11867,23732,3.3,2029039,1958882,3987921,9,104689,188487,293176,3.8
2006,Sep,11658,11641,23299,2.9,1685220,1750234,3435454,6.4,114225,206903,321129,5.8
2006,Oct,12201,12204,24405,3.2,1917065,1851078,3768143,7.9,113091,215110,328201,3.2
2006,Nov,11879,11872,23751,3.7,1790379,1765254,3555633,8.2,115482,227231,342714,7.4
2006,Dec,12114,12111,24225,3.2,1904972,1880303,3785275,8.5,118115,201528,319643,3.1
2007,Jan,11773,11776,23549,1.9,1686567,1693698,3380265,-0.5,101067,169711,270778,0.6
2007,Feb,11138,11128,22266,7.8,1744611,1781873,3526484,10.8,90390,144550,234940,4.8
2007,Mar,12056,12048,24104,2.2,1870849,1835500,3706349,7.6,113910,189352,303261,-5.3
2007,Apr,12212,12219,24431,3.8,1962130,1964932,3927062,5.6,105276,193026,298302,1.1
2007,May,12371,12370,24741,6.4,1849159,1841896,3691055,6.7,107984,186240,294224,3.8
2007,Jun,12085,12076,24161,5.6,1866715,1893134,3759849,6.4,113950,190823,304773,5.2
2007,Jul,12682,12682,25364,6,2111548,2139297,4250845,6.1,115394,199425,314819,7.3
2007,Aug,12776,12778,25554,7.7,2171869,2119135,4291004,7.6,116614,206857,323471,10.3
2007,Sep,12328,12328,24656,5.8,1815579,1886211,3701790,7.8,121428,221153,342581,6.7
2007,Oct,12891,12878,25769,5.6,2045663,1967421,4013084,6.5,120801,231793,352595,7.4
2007,Nov,12567,12566,25133,5.8,1973422,1946694,3920116,10.3,121881,242186,364067,6.2
2007,Dec,12796,12808,25604,5.7,2072110,2056550,4128660,9.1,123393,214833,338227,5.8
2008,Jan,12377,12375,24752,5.1,1895369,1954482,3849851,13.9,112202,183227,295429,9.1
2008,Feb,11869,11852,23721,6.5,1914806,1866881,3781687,7.2,99485,147009,246494,4.9
2008,Mar,12855,12868,25723,6.7,2048338,2070194,4118532,11.1,120054,214142,334196,10.2
2008,Apr,12515,12500,25015,2.4,1971341,1971196,3942537,0.4,115204,205168,320372,7.4
2008,May,12894,12891,25785,4.2,1989197,2018584,4007781,8.6,117341,196866,314207,6.8
2008,Jun,12405,12402,24807,2.7,1971715,1988285,3960000,5.3,115362,196501,311863,2.3
2008,Jul,12936,12945,25881,2,2135526,2177098,4312624,1.5,116574,200602,317176,0.7
2008,Aug,12710,12699,25409,-0.6,2053668,2002647,4056315,-5.5,112901,198147,311048,-3.8
2008,Sep,12256,12275,24531,-0.5,1740560,1791770,3532330,-4.6,111934,205648,317582,-7.3
2008,Oct,12988,12981,25969,0.8,2004086,1949857,3953943,-1.5,110680,209179,319859,-9.3
2008,Nov,12405,12387,24792,-1.4,1848194,1855153,3703347,-5.5,101081,194450,295531,-18.8
2008,Dec,12367,12386,24753,-3.3,1960593,1958952,3919545,-5.1,93722,149771,243493,-28
2009,Jan,12121,12110,24231,-2.1,1847357,2037214,3884571,0.9,79692,130289,209981,-28.9
2009,Feb,10614,10606,21220,-10.5,1704849,1548504,3253353,-14,83284,114297,197581,-19.8
2009,Mar,11888,11898,23786,-7.5,1895295,1906364,3801659,-7.7,102162,165759,267921,-19.8
2009,Apr,12035,12046,24081,-3.7,2061094,2072120,4133214,4.8,100154,156445,256599,-19.9
2009,May,11712,11699,23411,-9.2,1739160,1769457,3508617,-12.5,102162,156485,258647,-17.7
2009,Jun,10753,10743,21496,-13.3,1605696,1614833,3220529,-18.7,105408,164331,269739,-13.5
2009,Jul,11641,11659,23300,-10,1944748,1977040,3921788,-9.1,113673,177918,291591,-8.1
2009,Aug,11854,11842,23696,-6.7,2124738,2075480,4200218,3.5,113246,182571,295817,-4.9
2009,Sep,11272,11286,22558,-8,1669139,1763006,3432145,-2.8,111237,192667,303904,-4.3
2009,Oct,11964,11948,23912,-7.9,1950671,1873430,3824101,-3.3,117084,206038,323122,1
2009,Nov,11753,11747,23500,-5.2,1868035,1872810,3740845,1,114207,229353,343560,16.3
2009,Dec,12108,12102,24210,-2.2,2034469,2040278,4074747,4,120925,207859,328784,35
2010,Jan,11724,11723,23447,-3.2,1906253,1913801,3820054,-1.7,113334,187245,300579,43.1
2010,Feb,11132,11121,22253,4.9,1903106,1932304,3835410,17.9,100685,156413,257098,30.1
2010,Mar,12168,12189,24357,2.4,1996482,2056281,4052763,6.6,127316,220168,347483,29.7
2010,Apr,12348,12352,24700,2.6,2066587,2011508,4078095,-1.3,123328,229516,352843,37.5
2010,May,12685,12686,25371,8.4,1989423,2040482,4029905,14.9,129287,237029,366316,41.6
2010,Jun,12386,12384,24770,15.2,2026111,2070870,4096981,27.2,125832,221506,347338,28.8
2010,Jul,13361,13355,26716,14.7,2282784,2343553,4626337,18,132840,230460,363300,24.6
2010,Aug,13566,13563,27129,14.5,2318179,2272106,4590285,9.3,121192,224959,346151,17
2010,Sep,13054,13057,26111,15.8,1961220,2055165,4016385,17,120933,225015,345948,13.8
2010,Oct,13608,13587,27195,13.7,2164533,2098364,4262897,11.5,130144,242402,372546,15.3
2010,Nov,13366,13385,26751,13.8,2009235,2027892,4037127,7.9,121034,246154,367188,6.9
2010,Dec,13881,13858,27739,14.6,2163237,2165676,4328913,6.2,133271,228110,361381,9.9
2011,Jan,13716,13707,27423,17,2018970,2188292,4207262,10.1,124091,209220,333312,10.9
2011,Feb,12159,12146,24305,9.2,2019211,1889523,3908734,1.9,102254,139649,241903,-5.9
2011,Mar,14057,14087,28144,15.5,2043980,2071634,4115614,1.6,133508,235817,369324,6.3
